pcid,FI,Lead Origin,Country,State,City,Instance,Instance Date,Campaign,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19
72371,11,Online,India,Madhya Pradesh,Bhopal,Primary,20-11-2025,collegedunia/CDC_NM/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,21-11-2025 15:58,1,1
72371,11,Online,India,Telangana,Hyderabad,Primary,20-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,24-11-2025 17:24,1,1
72371,11,Online,India,Jharkhand,Giridih,Primary,20-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,22-11-2025 11:45,1,1
72371,11,Online,India,Uttar Pradesh,Ghaziabad,Primary,20-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,20-11-2025 15:32,1,1
72371,11,Online,India,Karnataka,Bengaluru,Primary,20-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,20-11-2025 15:14,1,1
72371,11,Online,India,Uttar Pradesh,Agra,Primary,19-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,20-11-2025 13:00,1,1
72371,11,Online,India,Kerala,Kannur,Primary,19-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,22-11-2025 14:26,2,1
72371,11,Online,India,Punjab,Amritsar,Primary,19-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,24-11-2025 13:43,1,1
72371,11,Online,India,Madhya Pradesh,Bhopal,Primary,19-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,03-02-2026 13:17,1,1
72371,11,Online,India,Jharkhand,Jamshedpur,Primary,19-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,PGDM,Specialization Not Available,University Not Available,19-11-2025 16:27,1,1
72371,11,API,India,Bihar,Patna,Primary,19-11-2025,collegedunia/182/api_140041261,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,25-12-2025 19:46,1,1
72371,11,API,India,West Bengal,Habra,Primary,19-11-2025,collegedunia/220_MPA/api_140120295,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,10-01-2026 13:33,1,1
72371,11,Online,India,Assam,Guwahati,Primary,18-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,20-11-2025 18:28,1,1
72371,11,Online,India,Delhi,New Delhi,Primary,18-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,PGDM,Specialization Not Available,University Not Available,18-11-2025 15:35,1,1
72371,11,Online,India,Uttar Pradesh,Kanpur,Primary,18-11-2025,collegedunia/CDC/online,Not Reachable,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,19-11-2025 14:17,1,1
72371,11,API,India,Bihar,Patna,Primary,18-11-2025,collegedunia/268/api_139374480,Moved To Application,Verified,,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,02-12-2025 06:06,1,1
72371,11,API,India,Rajasthan,Jaipur,Primary,18-11-2025,collegedunia/271/api_140108331,Moved To Application,Verified,,PGDM,Specialization Not Available,University Not Available,24-12-2025 11:21,1,1
72371,11,Online,India,Uttarakhand,Roorkee,Primary,18-11-2025,collegedunia/CDC/online,Moved To Application,Verified,Desktop,"MBA Global, University Of South Wales, UK",Specialization Not Available,University Not Available,18-11-2025 13:06,1,1
