Lead Origin,Country,State,City,Instance,Instance Date,Campaign,Lead Stage,Lead Status,Email Verification Status,Mobile Verification Status,Lead Score,Registration Device,Course,Specialization,Campus,Last Lead Activity Date,Form Initiated,Paid Applications,Enrolment Status
API,India,Telangana,Hyderabad,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:26,0,0,No
API,India,Tamil Nadu,Chennai,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:26,0,0,No
API,India,Bihar,Darbhanga,Primary,16-03-2026,collegedunia/266/api,Unanswered/No response,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:26,0,0,No
API,India,Delhi,New Delhi,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:26,0,0,No
API,India,Odisha,Rourkela,Primary,16-03-2026,collegedunia/266/api,Unanswered/No response,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:26,0,0,No
API,India,Uttar Pradesh,Lucknow,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:26,0,0,No
API,India,Delhi,New Delhi,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:26,0,0,No
API,India,Uttar Pradesh,Mirzapur,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:26,0,0,No
API,India,Telangana,Hyderabad,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:26,0,0,No
API,India,Tamil Nadu,Mannargudi,Primary,16-03-2026,collegedunia/265/api,Not Interested,Unverified,No,No,3,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 17:57,0,0,No
API,India,Maharashtra,Mumbai,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:26,0,0,No
API,India,Maharashtra,Solapur,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:26,0,0,No
API,India,Maharashtra,Satara,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:25,0,0,No
API,India,Maharashtra,Mumbai,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:25,0,0,No
API,India,Delhi,New Delhi,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:25,0,0,No
API,India,Delhi,New Delhi,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:25,0,0,No
API,India,Rajasthan,Jaipur,Primary,16-03-2026,collegedunia/266/api,Unanswered/No response,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:25,0,0,No
API,India,Maharashtra,Amravati,Primary,16-03-2026,collegedunia/266/api,Junk,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:25,0,0,No
API,India,Maharashtra,Pune,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:25,0,0,No
API,India,Bihar,Sasaram,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:25,0,0,No
API,India,Haryana,Faridabad,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:25,0,0,No
API,India,Chhattisgarh,Bhilai,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:25,0,0,No
API,India,Kerala,City Not Available,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:25,0,0,No
API,India,Karnataka,Bagalkot,Primary,16-03-2026,collegedunia/266/api,Not Interested,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:25,0,0,No
API,India,Maharashtra,Mumbai,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:25,0,0,No
API,India,Tamil Nadu,Kanyakumari,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:24,0,0,No
API,India,Madhya Pradesh,Indore,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:24,0,0,No
API,India,Gujarat,Vadodara,Primary,16-03-2026,collegedunia/266/api,Unanswered/No response,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:24,0,0,No
API,India,Punjab,Samana,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:24,0,0,No
API,India,Jharkhand,Dhanbad,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:24,0,0,No
API,India,Karnataka,Bengaluru,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:24,0,0,No
API,India,Andhra Pradesh,City Not Available,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:24,0,0,No
API,India,Maharashtra,Pune,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:24,0,0,No
API,India,Tamil Nadu,Erode,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:24,0,0,No
API,India,Maharashtra,Mumbai,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,-3,,B.Tech,B.Tech - Computer Science and Engineering,University Not Available,16-03-2026 16:24,0,0,No
API,India,Tamil Nadu,Chennai,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:24,0,0,No
API,India,Tamil Nadu,Chennai,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:23,0,0,No
API,India,Tamil Nadu,Chennai,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:23,0,0,No
API,India,Rajasthan,Jaipur,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,-4,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:23,0,0,No
API,India,Tamil Nadu,Chennai,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:23,0,0,No
API,India,Maharashtra,Mumbai,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:23,0,0,No
API,India,Maharashtra,Pune,Primary,16-03-2026,collegedunia/266/api,Unanswered/No response,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:23,0,0,No
API,India,Gujarat,Ahmedabad,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:22,0,0,No
API,India,Andaman and Nicobar,Port Blair,Primary,16-03-2026,collegedunia/265/api,Untouched,Unverified,No,No,-4,,B.Tech,B.Tech - Electronics and Communication Engineering (ECE),University Not Available,16-03-2026 16:22,0,0,No
API,India,West Bengal,Kolkata,Primary,16-03-2026,collegedunia/266/api,Untouched,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Data Science),University Not Available,16-03-2026 16:22,0,0,No
API,India,Maharashtra,Pune,Primary,16-03-2026,collegedunia/265/api,Not Interested,Unverified,No,No,1,,B.Tech,B.Tech - CSE (Artificial Intelligence and Machine Learning),University Not Available,16-03-2026 16:22,0,0,No
API,India,Telangana,Hyderabad,Primary,16-03-2026,collegedunia/266/api,Unanswered/No response,Unverified,No,No,1,,B.Tech,"B.Tech - CSE (IOT, Cyber Security and Blockchain",University Not Available,16-03-2026 16:20,0,0,No
